kor,eng
그 가게는 열 시에 문을 연다.,The store opens at 10 A.M.
맘에 들어? 가격은 어때?,Do you like it? What's the price?
우리 집은 학교에서 가깝다.,My house is near my school.
나는 가끔 맥주를 마신다.,I sometimes drink beer.
가능하다면 내일 오세요.,"Come tomorrow, if possible."
아버지는 아침 일찍 서울로 가셨다.,My father went to Seoul early in the morning.
나는 그녀에게 운전을 가르쳤다.,I taught her how to drive.
가방 속은 봤어?,Have you looked inside your bag?
기름은 물보다 가볍다.,Oil is lighter than water.
내가 제일 좋아하는 가수는 조용필이다.,My favorite singer is Yongpil Jo.
어젯밤부터 가슴이 아파요.,My chest was hurting since last night.
거기 가운데 앉아라.,"Sit there, in the middle."
가을에는 책을 읽기 좋다.,It is good to read books in the fall.
스키를 가장 좋아해요.,I like skiing the most.
요즘은 거의 모든 가정에 인터넷이 연결되어 있어요. ,Almost every home is hooked up to the internet now.
수건 가져왔니?,Did you bring towels?
가족 모두가 감기에 걸렸다.,The whole family has caught a cold.
그 가게는 여러 가지 물건을 팔아.,They sell various kinds of things at the shop.
그녀는 아름다운 목소리를 가지고 있다.,She has a beautiful voice.
나머지 세 강의는 각각 한 시간씩이야. ,The other three classes are one hour each.
나는 어렸을 때는 간호사가 되고 싶었어.,I wanted to be a nurse when I was younger.
갈비 좋아하세요?,Do you like ribs?
감기에 걸린 것 같아요.,I think I have a cold.
감사합니다.,Thank you.
그 사람을 보니까 이상한 감정이 들더라고.,I got a strange feeling when I saw him.
갑자기 날씨가 추워지고 있어.,It's getting cold suddenly.
올해 채소 값이 올랐다.,The price of vegetables rose this year.
한강은 한국에서 가장 큰 강이다.,The Han river is the biggest river in Korea.
선생님은 결과보다 과정을 강조하셨어.,My teacher emphasized process over results.
우와!? 저 선수는 서브가 아주 강한데!,Wow! she has a very strong serve.
우리는 어렸을 때 같은 학교에 다녔다.,We went to the same school as children.
같이 합시다.,Let's do it together.
개를 기르고 싶어요.,I'd like to raise a dog.
이 사탕은 한 개에 100(백)원이다.,These candies cost a hundred won a piece.
혜안과 나는 결혼한 지 3개월 되었다.,Hyean and I have been married for three months.
거기에서 보자.,See you there.
이 거리에는 차가 많다.,There are many cars in this street.
거울을 보세요.,Look at yourself in the mirror.
거의 끝나갑니다. ,It's almost finished.
거짓말이 아니에요.,I'm not telling a lie.
오늘 걱정이 있어 보여요.,You look worried today.
술은 건강에 해롭다.,Alcohol is bad for your health.
이 건물 뒤에 있습니다. ,It is at the back of this building.
왜 그렇게 빨리 걷는 거야? ,Why are you walking so fast?
옷을 옷걸이에 걸어라.,Hang clothes on a hanger.
벽에 그림이 걸려 있다.,A picture is hanging on the wall.
걸어갈래요? 아니면 차로 갈래요? ,Would you like to go on foot or by car?
우리가 얼마나 걸어온 거죠? ,How far have we come on foot?
한 남자가 검은색 가방을 들고 있었다.,A man was carrying a black bag.
같은 색으로 다른 것 좀 보여주세요.,Show me another one in the same color.
컴퓨터 게임 좋아하세요? ,Do you like computer games?
한국의 겨울은 아주 추워요.,Winter in Korea sure is cold. 
옆집 사는 부부 결국 이혼했어요.,The married couple next door finally got divorced.
아직 결정하지 못했어요.,I haven't decided yet.
나랑 결혼해 줄래?,Will you marry me?
그 남자 결혼식은 어디에서 하죠?,Where is he going to have the wedding ceremony?
그 축구 경기는 무승부로 끝났어.,The soccer game ended in a tie.
"어떤 경우에, 저는 성급하게 결론을 내립니다.","In some cases, I tend to jump to conclusions."
경찰에 전화는 했어?,Did you call the police?
경치가 정말 아름다워요.,The scenery is really beautiful.
좋은 경험이 될 거야. ,It would be a good experience.
